DATE,IC4WSA
8/7/76,391500
8/14/76,385500
8/21/76,387000
8/28/76,388500
9/4/76,399250
9/11/76,399500
9/18/76,400250
9/25/76,407500
10/2/76,404250
10/9/76,411250
10/16/76,411250
10/23/76,407750
10/30/76,409250
11/6/76,404000
11/13/76,399000
11/20/76,398750
11/27/76,389500
12/4/76,392500
12/11/76,395500
12/18/76,384750
12/25/76,373750
1/1/77,368250
1/8/77,373500
1/15/77,374250
1/22/77,396750
1/29/77,407250
2/5/77,444500
2/12/77,471750
2/19/77,465750
2/26/77,450750
3/5/77,399750
3/12/77,369250
3/19/77,361750
3/26/77,360250
4/2/77,357500
4/9/77,362750
4/16/77,360750
4/23/77,365500
4/30/77,371750
5/7/77,373750
5/14/77,378750
5/21/77,378750
5/28/77,380250
6/4/77,375000
6/11/77,369250
6/18/77,365250
6/25/77,361250
7/2/77,358000
7/9/77,358750
7/16/77,360500
7/23/77,360500
7/30/77,364250
8/6/77,368500
8/13/77,366750
8/20/77,367250
8/27/77,367250
9/3/77,366250
9/10/77,366250
9/17/77,365000
9/24/77,368750
10/1/77,362250
10/8/77,363750
10/15/77,362750
10/22/77,361500
10/29/77,361750
11/5/77,362000
11/12/77,356000
11/19/77,352250
11/26/77,353500
12/3/77,353750
12/10/77,361250
12/17/77,361000
12/24/77,358500
12/31/77,357750
1/7/78,353250
1/14/78,349250
1/21/78,351250
1/28/78,351000
2/4/78,354500
2/11/78,362000
2/18/78,381250
2/25/78,383250
3/4/78,382000
3/11/78,378500
3/18/78,358000
3/25/78,349000
4/1/78,343500
4/8/78,340000
4/15/78,330500
4/22/78,326500
4/29/78,324250
5/6/78,321500
5/13/78,324750
5/20/78,328500
5/27/78,327000
6/3/78,321000
6/10/78,323250
6/17/78,321250
6/24/78,324250
7/1/78,333750
7/8/78,340000
7/15/78,346500
7/22/78,351250
7/29/78,350750
8/5/78,353000
8/12/78,353500
8/19/78,352000
8/26/78,348750
9/2/78,335750
9/9/78,331500
9/16/78,326250
9/23/78,323750
9/30/78,325000
10/7/78,326500
10/14/78,325000
10/21/78,328750
10/28/78,328250
11/4/78,321750
11/11/78,318750
11/18/78,319750
11/25/78,330500
12/2/78,345500
12/9/78,355500
12/16/78,356750
12/23/78,355000
12/30/78,350250
1/6/79,354000
1/13/79,365250
1/20/79,361500
1/27/79,357500
2/3/79,354750
2/10/79,346500
2/17/79,354000
2/24/79,358500
3/3/79,360250
3/10/79,361250
3/17/79,359250
3/24/79,357500
3/31/79,358750
4/7/79,384250
4/14/79,408750
4/21/79,416250
4/28/79,415500
5/5/79,387500
5/12/79,359250
5/19/79,350000
5/26/79,348000
6/2/79,343750
6/9/79,349000
6/16/79,350250
6/23/79,357750
6/30/79,366000
7/7/79,366750
7/14/79,371000
7/21/79,375000
7/28/79,379250
8/4/79,390250
8/11/79,394750
8/18/79,392750
8/25/79,393750
9/1/79,388000
9/8/79,386000
9/15/79,385250
9/22/79,384750
9/29/79,385000
10/6/79,393500
10/13/79,395750
10/20/79,400250
10/27/79,402250
11/3/79,398000
11/10/79,403250
11/17/79,409250
11/24/79,413250
12/1/79,418500
12/8/79,418750
12/15/79,414000
12/22/79,428250
12/29/79,431250
1/5/80,426000
1/12/80,424500
1/19/80,418250
1/26/80,414250
2/2/80,416750
2/9/80,421750
2/16/80,414000
2/23/80,418000
3/1/80,419250
3/8/80,417500
3/15/80,421750
3/22/80,423500
3/29/80,440000
4/5/80,451500
4/12/80,479500
4/19/80,507750
4/26/80,529750
5/3/80,556750
5/10/80,571000
5/17/80,594500
5/24/80,610500
5/31/80,626750
6/7/80,629000
6/14/80,616500
6/21/80,609500
6/28/80,607000
7/5/80,599250
7/12/80,584500
7/19/80,576500
7/26/80,559250
8/2/80,556750
8/9/80,556750
8/16/80,546250
8/23/80,534750
8/30/80,518000
9/6/80,512500
9/13/80,504250
9/20/80,492500
9/27/80,482750
10/4/80,470500
10/11/80,459250
10/18/80,449250
10/25/80,438000
11/1/80,427250
11/8/80,417250
11/15/80,417750
11/22/80,412750
11/29/80,411000
12/6/80,413250
12/13/80,409750
12/20/80,413250
12/27/80,410000
1/3/81,408500
1/10/81,410000
1/17/81,412250
1/24/81,411500
1/31/81,413750
2/7/81,414000
2/14/81,414500
2/21/81,425000
2/28/81,428750
3/7/81,426000
3/14/81,422250
3/21/81,413000
3/28/81,407500
4/4/81,409500
4/11/81,406500
4/18/81,404250
4/25/81,410250
5/2/81,409250
5/9/81,416000
5/16/81,421500
5/23/81,416250
5/30/81,417250
6/6/81,418500
6/13/81,421250
6/20/81,426250
6/27/81,433000
7/4/81,441000
7/11/81,441250
7/18/81,440000
7/25/81,430750
8/1/81,434750
8/8/81,440250
8/15/81,443250
8/22/81,450000
8/29/81,443750
9/5/81,450000
9/12/81,453000
9/19/81,463250
9/26/81,473250
10/3/81,477250
10/10/81,486500
10/17/81,489500
10/24/81,487500
10/31/81,493750
11/7/81,499500
11/14/81,507000
11/21/81,502250
11/28/81,511750
12/5/81,522750
12/12/81,531250
12/19/81,550000
12/26/81,551000
1/2/82,535250
1/9/82,533750
1/16/82,521250
1/23/82,523250
1/30/82,545250
2/6/82,548000
2/13/82,552500
2/20/82,547500
2/27/82,533750
3/6/82,533750
3/13/82,541750
3/20/82,545000
3/27/82,556500
4/3/82,562000
4/10/82,573500
4/17/82,583500
4/24/82,587000
5/1/82,586500
5/8/82,586250
5/15/82,583250
5/22/82,582750
5/29/82,585750
6/5/82,592500
6/12/82,599750
6/19/82,601000
6/26/82,599500
7/3/82,596750
7/10/82,586250
7/17/82,580250
7/24/82,568750
7/31/82,570000
8/7/82,578500
8/14/82,596000
8/21/82,619000
8/28/82,629500
9/4/82,640750
9/11/82,641750
9/18/82,654750
9/25/82,660750
10/2/82,671750
10/9/82,674250
10/16/82,668250
10/23/82,656250
10/30/82,641750
11/6/82,626250
11/13/82,612000
11/20/82,600500
11/27/82,594250
12/4/82,586250
12/11/82,569750
12/18/82,554500
12/25/82,523750
1/1/83,518000
1/8/83,512250
1/15/83,503000
1/22/83,500500
1/29/83,492750
2/5/83,490500
2/12/83,492250
2/19/83,494250
2/26/83,488750
3/5/83,487250
3/12/83,484500
3/19/83,480250
3/26/83,480250
4/2/83,479250
4/9/83,484500
4/16/83,495750
4/23/83,497500
4/30/83,497250
5/7/83,496750
5/14/83,484000
5/21/83,477000
5/28/83,468000
6/4/83,459250
6/11/83,453750
6/18/83,447250
6/25/83,444250
7/2/83,435000
7/9/83,427500
7/16/83,418000
7/23/83,406250
7/30/83,404500
8/6/83,405250
8/13/83,420500
8/20/83,433000
8/27/83,435750
9/3/83,434750
9/10/83,421250
9/17/83,411250
9/24/83,408750
10/1/83,409250
10/8/83,410000
10/15/83,407250
10/22/83,401750
10/29/83,399500
11/5/83,396750
11/12/83,395750
11/19/83,394000
11/26/83,392500
12/3/83,385000
12/10/83,379500
12/17/83,373250
12/24/83,368000
12/31/83,369750
1/7/84,366750
1/14/84,364000
1/21/84,353000
1/28/84,351000
2/4/84,347500
2/11/84,344250
2/18/84,344500
2/25/84,339250
3/3/84,340500
3/10/84,342500
3/17/84,346250
3/24/84,347000
3/31/84,345500
4/7/84,354250
4/14/84,356250
4/21/84,360750
4/28/84,369250
5/5/84,365250
5/12/84,368000
5/19/84,365500
5/26/84,360250
6/2/84,357750
6/9/84,358000
6/16/84,359750
6/23/84,361750
6/30/84,363000
7/7/84,362250
7/14/84,362000
7/21/84,360750
7/28/84,360500
8/4/84,364500
8/11/84,369500
8/18/84,380500
8/25/84,389500
9/1/84,390250
9/8/84,395750
9/15/84,393750
9/22/84,393750
9/29/84,398000
10/6/84,398250
10/13/84,402500
10/20/84,413500
10/27/84,419250
11/3/84,424250
11/10/84,420000
11/17/84,406000
11/24/84,407000
12/1/84,401500
12/8/84,399000
12/15/84,399750
12/22/84,387250
12/29/84,381750
1/5/85,378250
1/12/85,378500
1/19/85,373500
1/26/85,370750
2/2/85,375000
2/9/85,378500
2/16/85,386250
2/23/85,391750
3/2/85,388750
3/9/85,384750
3/16/85,383750
3/23/85,379500
3/30/85,382500
4/6/85,387500
4/13/85,393750
4/20/85,398250
4/27/85,398250
5/4/85,394500
5/11/85,390250
5/18/85,390250
5/25/85,392750
6/1/85,393500
6/8/85,395750
6/15/85,395500
6/22/85,393000
6/29/85,392250
7/6/85,390250
7/13/85,389250
7/20/85,385250
7/27/85,378250
8/3/85,381250
8/10/85,385250
8/17/85,392500
8/24/85,403250
8/31/85,403750
9/7/85,409750
9/14/85,412000
9/21/85,411000
9/28/85,408500
10/5/85,403250
10/12/85,401250
10/19/85,401000
10/26/85,405750
11/2/85,404000
11/9/85,403250
11/16/85,402500
11/23/85,393500
11/30/85,392250
12/7/85,392750
12/14/85,389000
12/21/85,386000
12/28/85,385250
1/4/86,376000
1/11/86,379750
1/18/86,378250
1/25/86,366750
2/1/86,367250
2/8/86,359500
2/15/86,358000
2/22/86,369500
3/1/86,372250
3/8/86,372250
3/15/86,378250
3/22/86,377500
3/29/86,382750
4/5/86,386500
4/12/86,388000
4/19/86,387000
4/26/86,385750
5/3/86,388500
5/10/86,390250
5/17/86,390500
5/24/86,389250
5/31/86,384500
6/7/86,379500
6/14/86,375750
6/21/86,371000
6/28/86,370500
7/5/86,369500
7/12/86,367500
7/19/86,364250
7/26/86,362000
8/2/86,373250
8/9/86,387000
8/16/86,400250
8/23/86,409000
8/30/86,405250
9/6/86,401250
9/13/86,398000
9/20/86,398500
9/27/86,395500
10/4/86,393250
10/11/86,391500
10/18/86,388000
10/25/86,383250
11/1/86,376500
11/8/86,367000
11/15/86,362750
11/22/86,362500
11/29/86,363000
12/6/86,366500
12/13/86,368250
12/20/86,363500
12/27/86,358250
1/3/87,348250
1/10/87,341500
1/17/87,339250
1/24/87,339500
1/31/87,351250
2/7/87,356250
2/14/87,355500
2/21/87,354250
2/28/87,348750
3/7/87,341000
3/14/87,340250
3/21/87,338750
3/28/87,333250
4/4/87,331500
4/11/87,332250
4/18/87,335750
4/25/87,336250
5/2/87,336250
5/9/87,330500
5/16/87,328500
5/23/87,332250
5/30/87,331250
6/6/87,334500
6/13/87,328250
6/20/87,322250
6/27/87,322250
7/4/87,321750
7/11/87,322000
7/18/87,319750
7/25/87,319250
8/1/87,324750
8/8/87,327250
8/15/87,329500
8/22/87,326500
8/29/87,320000
9/5/87,317250
9/12/87,311750
9/19/87,311000
9/26/87,309750
10/3/87,306000
10/10/87,308750
10/17/87,306750
10/24/87,302750
10/31/87,299750
11/7/87,297000
11/14/87,298500
11/21/87,302500
11/28/87,306750
12/5/87,312250
12/12/87,314750
12/19/87,316250
12/26/87,318750
1/2/88,317750
1/9/88,319750
1/16/88,329250
1/23/88,334000
1/30/88,340750
2/6/88,339000
2/13/88,326500
2/20/88,324500
2/27/88,318750
3/5/88,316000
3/12/88,314250
3/19/88,309250
3/26/88,305500
4/2/88,306000
4/9/88,308250
4/16/88,310000
4/23/88,312000
4/30/88,313000
5/7/88,312000
5/14/88,312000
5/21/88,313750
5/28/88,313750
6/4/88,314000
6/11/88,311750
6/18/88,309750
6/25/88,308250
7/2/88,307000
7/9/88,306500
7/16/88,307500
7/23/88,319250
7/30/88,325750
8/6/88,329000
8/13/88,328250
8/20/88,318750
8/27/88,314750
9/3/88,312250
9/10/88,310500
9/17/88,308000
9/24/88,304500
10/1/88,301000
10/8/88,297750
10/15/88,294500
10/22/88,290750
10/29/88,291250
11/5/88,289500
11/12/88,287250
11/19/88,289250
11/26/88,290500
12/3/88,293750
12/10/88,294000
12/17/88,293750
12/24/88,290500
12/31/88,292000
1/7/89,295500
1/14/89,293000
1/21/89,292000
1/28/89,289750
2/4/89,287000
2/11/89,296750
2/18/89,302500
2/25/89,303750
3/4/89,313000
3/11/89,313750
3/18/89,317250
3/25/89,322000
4/1/89,321500
4/8/89,318750
4/15/89,315750
4/22/89,312000
4/29/89,309000
5/6/89,310500
5/13/89,316750
5/20/89,321000
